,Goal,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,SDG 1,1.0,Sustainable Development Goal 1,SDG 1,end poverty,reduce poverty,fight against poverty,end global poverty,poverty reduction,poverty and deprivation,combat poverty,eradicate poverty,tackle poverty,poverty alleviation,alleviate poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SDG 1,1.1,international poverty line, extreme poverty, abject poverty, absolute poverty,destitution,penury,severe deprivation,help people suffering from food and material deprivation,extremely poor,incidence of poverty,Households in poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SDG 1,1.2,severely materially deprived people,low work intensity,national poverty line,social exclusion,income poverty,combatting child poverty,children out of poverty,addressing child poverty,at risk of poverty,fight child poverty,poverty rate,living in poverty,poor households,multidimensional poverty,basic needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SDG 1,1.3,social risk,social protection,rights of persons with disabilities,rights of unemployed persons,rights of older persons,rights of pregnant women,rights of work-injury victims,rights of the poor,rights of the vulnerable,hiring subsidies,social security,child benefits,maternity benefits,support for unemployment,support for people without a job,benefits for persons with disabilities,benefits for victims of work injuries,benefits for older persons,family benefits,maternity protection,unemployment support,employment injury benefits,sickness benefits,disability pensions,old-age pensions,social welfare benefits,social spending,social services,social expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SDG 1,1.4,tenure rights,equal rights to economic resources,control over land,access to inheritance,rights to land,"
access to property",access to natural resources,access to new technology,access to financial services,access to microfinance,access to services,property rights,access to basic goods,basic goods for all,access to basic services,delivery of essential services,provide essential basic services,land tenancy right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SDG 1,1.5,disaster risk reduction,vulnerability in disaster,affected by extreme events,resilience of the poor,reduce vulnerability,resilience to disaster,disaster resilience,vulnerable people,protect livelihoods,build resilience to future shocks,build resilience to shocks,vulnerability to climate event,vulnerability to climate extreme event,vulnerability to economic shock,vulnerability to natural disaster,resilience to catastrophic events,vulnerability to catastrophic events,economic loss attributed to disasters,economic loss due to disasters,strengthen economic resilience,strengthen social resilience,preventing disaster risk,vulnerable groups,vulnerable social groups, vulnerable to external shocks,vulnerable individuals,vulnerable sections of the population,vulnerable population,vulnerable communities,resilience within communities,weakest population,vulnerability to earthquakes,resilience to earthquakes,earthquake risk,earthquakes resilience,plagues risk reduction,vulnerability to plagues,resilience to plagues,plagues resilience,preventing plagues risk,sandstorms risk reduction,vulnerability to sandstorms,resilience to sandstorms,sandstorms resilience,preventing sandstorms risk,vulnerability to extreme climate event,,,,,,,,,,,,
6,SDG 1,1.a,poverty reduction programmes,means for developing countries,reduce poverty in developing countries,reduce poverty LDCs,donors that focus on poverty reduction,development assistance for poverty reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SDG 1,1.b,pro-poor policy framework,poverty eradication actions,poverty reduction strategies,investments in poverty eradication,development strategies for poverty,Pro-poor public social spending,Pro-poor spending,Pro-poor investment,poor-oriented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SDG 2,2.0,Sustainable Development Goal 2,SDG 2,improve nutrition,lack food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SDG 2,2.1,sufficient food,undernourishment,end hunger,necessary nourishment,access to food,food access,food insecurity,food for all, food for the poor, food for people in vulnerable situations,food for vulnerable people,safe food,wholesome food,food safety,safety of food,food nutritional value,food security,zero hunger,acute hunger,people affected by hunger,starvation,acute undernutrition,famine, food needs,extreme hunger,food shortage,nutritious and affordable food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SDG 2,2.2,child growth standards,obesity rate,nutritional needs,nutritious food,stunting,malnutrition,malnourishment,obesity prevalence,childhood obesity,childhood nutrition,child nutrition,Prevalence of anaemia,wasting in children,children affected by wasting,underweight children,healthy and nutritious diets,healthy and sustainable diets,nutrition security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SDG 2,2.3,small scale food producers,farm employment,family farmers,agricultural productivity,support pastoralists,Agricultural Fund for Rural Development,help farmers,support farmers,smallholder farmers ability,small scale farmers,improves rural livelihoods,sustainably managing agricultural soils,decent living for farmers,decent living for fishermen,agricultural products,agricultural producers,agricultural output,agri-business,agro-processing,agricultural value chains,small farmers,productive land uses,increase livestock,improve pastoral transhumance,support pastoral farming,cotton production,maize production,crops production,yield production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SDG 2,2.4,sustainable food production systems,resilient agricultural practices,sustainable agriculture,soil quality,organic farming,make the agricultural system more resilient to climate change,environmentally-friendly food system,sustainable food supply chains,sustainable agri-food systems,risk of non-sustainable agriculture,eco-agricultural models,sustainable livelihoods Initiative,climate-friendly agriculture,environment-friendly agriculture,reduce the footprint of food production,agro-ecology,agroecology,sustainable food system,sustainable farming,climate-smart agriculture,resource efficient food production,agri-food production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SDG 2,2.5,animal genetic resources,cultivated plants,seed banks,GMO,domesticated animals,plant banks,plant genetic resources, genetic diversity of seeds,plant gene banks,livestock gene banks,breeds classified as being at risk of extinction,breeds at risk of extinction,silvopastoral and agroforestry production modes,genetic diversity in agriculture,genetic diversity of agricultural crops,agricultural area under high-diversity landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SDG 2,2.a,agricultural investment,agriculture orientation index, agricultural research,finance agriculture,stimulate research and development within the agri-food industry,research in the agri-food industry,stimulate development within the agri-food industry,research within the agri-food industry,investment in agriculture,agricultural cooperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SDG 2,2.b,agricultural export subsidies,world agricultural markets,agricultural exports,agricultural market,agricultural trade,agricultural goods market,food imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SDG 2,2.c,food price volatility,food price anomalies,food commodity markets,food reserves,food price changes,changes food price,volatility food price,volatility prices of food,anomalies food price,anomalies prices of food,food mispricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SDG 3,3.0,Sustainable Development Goal 3, SDG 3,promote well-being,promote wellbeing,support for the health challenges,health research and innovation,preventive healthcare,child health,child wellbeing,child well-being,children health,children wellbeing,children well-being,elderly health,elderly wellbeing,elderly well-being,safeguard health,protect human health,protect citizens’ health,health citizens,well-being citizens,improve human health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SDG 3,3.1,maternal mortality, death in pregnancy,death in childbirth,maternal deaths,deaths which occur during pregnancy,obstetric deaths,death occurring in childbirth,pregnancy related deaths,pregnancy deaths,deaths related to pregnancy,deaths related to childbirth,MMR,MMRate,maternal health,childbirth assisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SDG 3,3.2,child mortality,neonatal mortality,infant mortality,children mortality,U5MR,Mortality rates among young children,Mortality rates among children,Mortality rates of children,under-5 mortality,NMR,mortality of children,stunting in children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SDG 3,3.3,hepatitis,malaria,neglected tropical diseases,communicable diseases,water-borne diseases,AIDS,end epidemics,HIV,tuberculosis,cope with epidemic,combat pandemic,combat epidemic,combat COVID-19,stem COVID transmission,infectious diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SDG 3,3.4,premature mortality,suicide mortality rate,mental health,chronic respiratory disease,cardiovascular disease,diabetes,fight cancer,improving cancer control,improving cancer care,cancer incidence,non-communicable diseases,ncd,carcinogens,suicide deaths,promote mental health,mental illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SDG 3,3.5,drug abuse,alcohol per capita consumption,substance abuse,cocaine, alcohol consumption,cannabis,illegal substances,drug addiction,use of alcohol,use of drugs,alcohol abuse,substance use disorders,alcohol consumed,alcohol exposure,drug exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SDG 3,3.6,road traffic injuries,road traffic fatality,injuries from road traffic crashes,injuries from road traffic accidents,injuries from road accidents,injuries from traffic accident,injuries from accidents road,injuries from accident traffic,deaths from road traffic crashes,deaths from road traffic accidents,deaths from road accidents,deaths from traffic accident,deaths from accidents road,deaths from accident traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SDG 3,3.7,reproductive health,family planning,sexual health,sexual education,sexual information,adolescent birth,reproductive education,reproductive information,access to contraceptive,access to means to prevent pregnancy,use of means to prevent pregnancy,preventing unintended pregnancies,reproductive services,adolescent pregnancies,Adolescent childbearing,safe abortions,reproductive rights,contraception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SDG 3,3.8,affordable essential medicines,essential health services,care services,access to medicines,health coverage,health service,medicine access,health protection,protect public health,support to health care systems,health security,inclusive health systems,efficient health systems,reinforce health care systems,resilience of health systems,access to healthcare,access to health care,access to the most basic of rights like healthcare,universal healthcare,affordable vaccines,access to vaccines,vaccine access,UHC,health insurance,care costs,access to care,quality care,medical care,care provision,Household health expenditure,inclusive health policy,inclusive health,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SDG 3,3.9,respiratory disease,health effects of soil pollution,health impacts of soil pollution,effects of unsafe water,harmful effects of chemicals,deaths related to hazardous chemical,unintentional poisoning,deaths related to unsafe water, deaths related to unsafe sanitation,illnesses from pollution,illnesses from contamination, mortality attributed to unsafe water,mortality attributed to sanitation,mortality for lack of hygiene,health effects of air pollution,health impacts of air pollution,deaths related to air pollution,deaths from hazardous chemicals,deaths from air pollution,deaths from water pollution,deaths from water contamination,deaths from soil pollution,deaths from soil contamination,illness related to air pollution,illness from hazardous chemicals,illness from air pollution,illness from water pollution,illness from water contamination,illness from soil pollution,illness from soil contamination,health effects of water contamination,health impacts of water contamination,Mortality rate attributed to air pollution,Mortality rate for air pollution,Mortality for air pollution,Mortality attributed to air pollution,deaths from hazardous air pollution,illness from hazardous air pollution,deaths associated with air pollution,illness associated with air pollution,deaths associated with hazardous chemicals,illness associated with hazardous chemicals,deaths associated with water contamination,illness associated with water contamination,deaths associated with soil contamination,illness associated with soil contamination,air pollution associated diseases,water contamination associated diseases,soil contamination associated diseases,soil pollution associated diseases,water pollution associated diseases,deaths from unsafe water,deaths from unsafe sanitation,deaths from lack of hygiene,Deaths attributable to unsafe water,Deaths attributable to unsafe sanitation,Deaths attributable to unsafe hygiene,Environmental health
27,SDG 3,3.a,tobacco control,decrease smoking prevalence,reduce tobacco use,reduce cigarette consumption,lower tobacco use,lower cigarette consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SDG 3,3.b,vaccination research,vaccine development,basic health research,aid to health,official development assistance for medical research,european medicines agency,support for health and climate-related research,support for health research,"innovative protective measures, virology, vaccines",research and development of vaccines and medicines,research of vaccines,research of medicines,development of vaccines,development of medicines,medicines for developing countries,vaccines for developing countries,official development assistance for health,official development assistance for basic health,pharmaceutical research,development of pharmaceutical products,research for pharmaceutical,EMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SDG 3,3.c,increase health financing in developing countries,increase health workforce in developing countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SDG 3,3.d,international health regulations,health emergency,public health capacity,health inequities,health system,national health risks,health risk management,health risk reduction,health risk warning,health risk assessment,public health,safety risk to human health,elimination of a risk to health,avoidance of a risk to health,health surveillance,health risk,reduction of disease risk,reduces a risk factor in the development of a human disease,risks to human health,impact on human health, effects on human health,react to future health crises,react to health crises,prepare for future health crises,health crisis prevention,manage health crisis,risk communication framework,disease prevention,health system resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SDG 4,4.0,Sustainable Development Goal 4,SDG 4,quality education,education and training,training and education,education and skills,skills and education,quality services in education,increase access to education,increase school enrollment rates,improving global education,improving education,Facilitate the return of students to school,promote learning,education quality,growth in enrolment rates,education as a priority,equitable education,progress on education,education policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SDG 4,4.1,primary completion rate,primary school completion rate,free primary education,free secondary education,minimum proficiency level,effective learning outcomes,compulsory education,prevent early school leaving,free primary school,children out of school,out-of-school children,progress in primary school enrolment,Completion rate primary education,Completion rate lower secondary education,Completion rate upper secondary education,Completion rate secondary education,completion rate of education,early school leavers,out-of-school,learning conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SDG 4,4.2,learning services for children,childhood development,pre primary education,early childhood education,children development,learning process for children,nursery education,family-day care,pre-primary provision,compulsory school starting age,early childhood learning,ensure that all children have access to basic services like health and education,children early learning,Early childhood and primary education,support children’s early cognitive development,support children’s cognitive development,support children’s early development,early childhood development,children developmentally on track,completion rate for upper-secondary education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SDG 4,4.3,tertiary education,adult participation in learning,participation in formal education,participation in non-formal education,participation in training,access to universities,adult education,adult formal education,adult training,Lifelong training,lifelong education,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SDG 4,4.4,technical skills,vocational skills,skills for employment,digital skills,ICT skills,technology skills,skill training,vocational training, vocational education,upgrading of skills,skills adjusted to labour market,reskilling,upskilling,skills for job,skills for labour market,digital literacy,up-skilling,TVET,skills development,skilled labour,quality skills,human capital development,new skills,E-learning,labour market demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SDG 4,4.5,equal access to education,quality education and training for disadvantaged groups,education for indigenous,education for all,education for disadvantaged,education for vulnerable,gender equality in education,education for persons with disabilities,parity of education,education socially inclusive,training socially inclusive,inclusive education,educational inequalities,education is inclusive,equal access to high-quality education,parity in primary education,parity in secondary education,parity in tertiary education,parity in university,inequalities in education,disparity in education,gender discrepancy in education,gender discrepancy in terms of education,education for gender equality,remove barriers to education,inclusive schools,right to education,discrimination in education,right to common education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SDG 4,4.6,numeracy,language proficiency,underachievement in reading,reading skills,reading proficiency,math proficiency,mathematical proficiency,math skills,mathematical skills,underachiever in mathematics,proficiency standards in reading,proficiency standards in mathematics,reduce illiterate,proficiency in reading,proficiency in math,functionally literate,increase literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SDG 4,4.7,global citizenship education,sustainable development skills,human rights education,sustainable development in teacher education,sustainable development in national education,culture of peace,respect of cultural diversity,sustainable development in curricula,sustainability education,sustainability learning,education sustainability,learning sustainability,competences for sustainable development,education for sustainable development,skills for sustainable development,training on sustainable development,teach sustainable development,teacher of sustainable development,education for sustainable lifestyle,skills for sustainable lifestyle,training on sustainable lifestyle,teach sustainable lifestyle,teacher of sustainable lifestyle,learn sustainable development,learn sustainable lifestyle,education for human rights,training on human rights,teach human rights,teacher of human rights,learn human rights,education for peace,education for global citizenship,teach global citizenship,learn global citizenship,culture of sustainable development,culture of sustainable lifestyle,awareness of sustainable lifestyle,education for environmental sustainability,inclusive teaching,inclusive training course for teaching staff,,,,,,,,,,,,,,,,,,
39,SDG 4,4.a,education facilities,safe learning environment,inclusive learning environment,effective learning environment,sanitation in school,electricity in school,internet in school,drinking water in school,schools offering basic services,schools with basic resources,schools with drinking water,schools with electricity,schools with computers,schools with Internet,schools with sanitation,schools with access to electricity,schools with access to Internet,school with basic handwashing facilities,school with handwashing facilities, handwashing facilities in school,internet for teaching,internet accessible by pupils,students can access to internet,internet access students,internet for students,computer for teaching,computer for learning,computer in school,Accessible learning materials,access in schools to key basic services,access in schools to basic services,access in schools to facilities,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SDG 4,4.b,scholarship,improve access to higher education,increase access to higher education,financial aid awards for individual students,financial aid for students,financial contributions to trainees,financial contributions to study,financial contributions for students,economic aid for students,economic aid to study,grants to students,grant for studying,grant for learning,official development assistance for studying,official development assistance for learning,official development assistance for school,official development assistance for education,ODA for education,ODA for school,Erasmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SDG 4,4.c,qualified teacher,skilled teacher,teacher education,teacher training,development of teaching staff,train teachers,educate teachers,adequate teacher,well-trained teachers,well-trained to teach,training for teaching,teachers with the minimum required qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SDG 5,5.0,Sustainable Development Goal 5,SDG 5,empower women,Inequalities based on sex,empower girls,Women’s empowerment,Woman’s empowerment,girls’ empowerment,empower female,female rights,woman’s rights,equal opportunity for women,equal opportunity for woman,equal opportunity for girls,women equality,woman equality,gender equality,equality between men and women,equality between man and woman,equality between boys and girls,equality between girls and boy,equality between women and men,equality between woman and man,inequalities for women,inequalities for woman,inequalities for girls,gender inequality,Inequalities faced by girls,Inequalities faced by women,Inequalities faced by woman,gender parity,parity between men and women,parity between man and woman,parity between boys and girls,parity between girls and boy,parity between women and men,parity between woman and man,same rights as men,women and men have equal rights,woman and man have equal rights,women and men have the same rights,woman and man have the same rights,same rights for woman and man,same rights for women and men,same rights for girls and boys,same rights for man and woman,same rights for men and women,same rights for boys and girls,gender pay gap,gender discrepancy,Gender Action Plan,sharing of responsibilities between women and men,sharing of responsibilities between men and women,women rights,,,,
43,SDG 5,5.1,woman discrimination,gender discrimination,women discrimination,discrimination for women,discrimination for woman,discrimination for girls,discrimination faced by girls,discrimination faced by women,discrimination faced by woman,girls are deprived,women are deprived,woman  deprived,women discriminated,woman discriminated,girls discriminated,discriminated women,discriminated woman,discriminated girls,discrimination on the basis of sex,discrimination by sex,discrimination on the basis of gender,discrimination by gender,equal treatment women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SDG 5,5.2,gender violence,violence against woman,violence against girls,gender-based violence,marital violence,violence within marriage,dowry-related death,sexual harassment,rape victim,intimate partner violence,rape women,women rape,violence against women,abuse women,women abuse,abuse woman,woman abuse,rape woman,woman rape,protect women from violence,protect woman from violence,marital rape,women sexually assaulted,woman sexually assaulted,domestic violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SDG 5,5.3,forced marriage,fgm,female genital mutilation,child marriage,forced into early marriage,genital cutting,marrying in childhood,Marriage before the age of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SDG 5,5.4,unpaid domestic work,unpaid care,shared household responsibility,sharing family responsibility,responsibility shared household,Unpaid domestic services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SDG 5,5.5,women in leading positions,women in managerial positions,women in management positions,women in parliament,women in top position,female CEO,female boss,women in government,women leading,leading women,women are serving in parliament,women in positions of leadership,women leadership,women’s representation in policy,women’s representation politics,woman in leading positions,woman in managerial positions,woman in management positions,woman in parliament,woman in top position,woman in government,woman leading,leading woman,woman serving in parliament,woman in positions of leadership,woman leadership,woman’s representation in the political,woman’s representation in policy,women in political leadership,woman in political leadership,woman in political offices,women in political offices,seats held by women,positions held by women,females employed in decision-making,females employed in management roles,women who are employed in decision-making,women employed in management roles,woman employed in decision-making,woman employed in management roles,women in decision-making,women in management roles,woman in decision-making,woman in management roles,gender balance on company boards,female-led households,,,,,,,,,,,,
48,SDG 5,5.6,reproductive rights,sex education,freedom for women in sexual relations,freedom for woman in sexual relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SDG 5,5.a,land rights for women,women owned business,womens right to land,womens property rights,female property ownership,womens property,female land ownership,women land ownership,gender discrimination in land ownership,land rights for woman,woman owned business,womans right to land,womans property rights,womens land,woman land ownership,inheritance rights for woman,inheritance rights for women,women inheritance rights,woman inheritance rights,give women equal rights land,give women equal rights property,gender balance on ownership over agricultural land,gender balance on tenure rights over agricultural land,gender balance over agricultural land,woman owning land,women owning land,women equal rights to land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SDG 5,5.b,women in technology,women in tech,gender and technology,technology and women,female tech leader,women techmakers,ict women,women ict,gender ict,ict gender,woman in technology,woman in tech,technology and woman,woman techmakers,ict woman,woman ict,mobile phone for women,mobile phone for girls,women with mobile phones,girls with mobile phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SDG 5,5.c,gender laws,gender-neutral legislation,gender-sensitive legislation,gender-relevant legislation,gender legislation,public allocations for gender equality,laws gender,equality in law for women,women business and the law,women and law,gender equality law,gender equality legislation,law gender equality,equality in law for woman,discriminatory laws for women,discriminatory laws for woman,legislation on domestic violence,laws protecting women,address the way laws impact the decisions women take,give women and men equal legal rights,give men and women equal legal rights,gender approach in legislation,gender approach in policy,integrate gender in legislation,integrate gender in policy,gender mainstreaming,mainstreaming gender,gender sensitive legislation,gender sensitive policy,gender sensitive budget,gender budgeting,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SDG 6,6.0,Sustainable Development Goal 6,SDG 6,ensure water availability,ensure availability of water,water and sanitation,sustainable management of sanitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SDG 6,6.1,safe drinking water,drinking water access,affordable drinking water,access to drinking water,dwindling drinking water,water insecurity,drinking water stress,freshwater resources,drinking water services,improved drinking water source,basins where water use exceeds recharge,availability of water,recurring water shortages,safely-managed drinking water,shortfall in freshwater resources,water crisis,Drinking water supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SDG 6,6.2,equitable sanitation,washing facility,access to sanitation,equitable hygiene,cleaning facilities,open defecation,sanitation service,ensure sanitation,hand hygiene,handwashing,WASH services,"basic water, sanitation and hygiene facilities",basic water services,safely managed sanitation facilities,access to toilets,access to latrines,inadequate sanitation,lack of access to sanitised water,adequately disposed excreta,adequately treated excreta,safe sanitation,sanitary facilities,urban sanitation,sanitation infrastructure,sanitary conditions,adequate sanitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SDG 6,6.3,water quality,wastewater treatment,waste water treatment, waste water management,untreated waste water,untreated wastewater,water pollution,nitrate in rivers,phosphate in rivers,reclaimed water,recycled water,pollution of surface water,pollution of water,pollution of groundwater,pollution of the aquatic environment,safeguard zones for surface and groundwater,clean water,lack of running water,untreated water,wastewater discharged into rivers without pollution removal,wastewater discharged into sea without pollution removal,wastewater management,degradation of water resources,water treatment projects,water treatment plant,recycling of treated water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SDG 6,6.4,water exploitation index,water-use efficiency,sustainable water,efficient water,water stress,freshwater withdrawal,available freshwater, water scarcity,scarce water,water resource efficiency,water-saving technologies,water saving techniques,Water efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SDG 6,6.5,water resource management,integrated water resource,transboundary basin,water cooperation,water management,sustainable management of water,watershed management,reliable irrigation,equitable use of water,water catchment area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SDG 6,6.6,protect wetlands,wetland protection,river protection,protect rivers,water basin protection,water-related ecosystem,protect water resource,restore water,draining wetland,natural wetlands lost,restore wetlands,restore freshwater ecosystems,restore river,river restored,restore floodplains,floodplains restored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SDG 6,6.a,water oda,water-related oda,water-related official development assistance,sanitation-related oda, sanitation-related official development assistance,water programmes in developing countries,sanitation in developing countries,water harvesting in developing countries, water efficiency in developing countries,official development assistance for water projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SDG 6,6.b,local communities in water,community water management,community water system,community sanitation,community-led sanitation,community-led water,local water management,local water strategy,local water policy,managing local water,local management of water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,SDG 7,7.0,Sustainable Development Goal 7,SDG 7,sustainable energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
