,Goal,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
126,SDG 13,13.3,climate change knowledge,climate change awareness,human capacity climate change,institutional capacity climate change,climate change mitigation capacity,climate change through education,improvement in climate change knowledge,climate change learning,learning climate change,education climate change,awareness climate change,awareness raising climate change,climate change curricula,research and innovation in climate,climate-related research,knowledge and understanding of climate change, knowledge of climate change,understanding of climate change,promote public awareness to address the effects of climate change,promote awareness to address climate change,climate change forum,better understand the risks posed by climate change,skills and attitudes on climate change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,SDG 13,13.a,green climate fund,climate related expending,funding climate change,financing climate change,development assistance to climate change,helping developing countries cut emissions,helping developing countries cope with climate impacts,green climate fund capitalization,address the needs of developing countries in the face of climate change,enable the climate finance,climate finance,Climate Change Fund,climate related investment,finance for climate action,investments on climate resilient,additional climate finance,green climate fund capitalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,SDG 13,13.b,climate change related planning in least developed,climate change related planning small island,raise capacity for effective climate change-related planning, raise capacity for effective climate change-related management,address the needs of developing countries to adapt to climate change,support developing countries in climate change,support small island developing states in climate change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,SDG 14,14.0,Sustainable Development Goal 14,SDG 14,sustainable use of seas,sustainable use of marine resources,life below water,marine and water resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,SDG 14,14.1,marine pollution,nutrient pollution,marine debris,coastal eutrophication,plastic debris,deterioration of coastal waters,coastal waters pollution,coastal water eutrophication,plastic litter,threaten marine environment,threaten marine life,marine litter,Clean Oceans,plastic waste ocean,ocean plastic waste,plastic ocean,plastic discharges ocean,oil spills ocean,oil spills sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,SDG 14,14.2,healthy ocean,productive ocean,marine ecosystem,coastal ecosystem,marine biodiversity,sustainable management of oceanic and coastal fisheries,protect lives and livelihoods in coastal areas,integrated costal management,water management in the sea basin,sustainable marine environments,sustainable maritime transport,coastal biodiversity,loss of coastal habitats,marine key biodiversity areas,oceans must be conserved,sustainable development of water ecosystems,protection of water and marine resources,conserve seas,conserve marine resources,protect oceans,protect seas,protect marine resources,protecting coastal wetlands,sustainably managing marine areas,sustainably managing coastal areas, maritime ecosystems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,SDG 14,14.3,ocean acidification,marine acidity,ocean acidity,marine acidification,acidification ocean,acidification marine,acidity marine,acidity ocean,ph of the ocean,ph of the earths ocean,oceans ph,ocean chemistry,ocean pollution,ocean warming,ocean heat,marine heatwaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,SDG 14,14.4,overfishing,fish stock,sustainable fishing,destructive fishing,unregulated fishing,unreported fishing,illegal fishing,poor fisheries management,overexploited fish stocks,depleted fisheries,reduce the adverse impacts of fishing,Fisheries Agreement,fish industry,sustainable fisheries,SFPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,SDG 14,14.5,marine protected area,marine protected sites,marine area conservation,conserve marine area,protect marine area,marine area protection,conserve coastal area,coastal area protection,protect coastal area,marine environment,international ocean policy,protect sea areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,SDG 14,14.6,fisheries subsidies,regulated fishing,subsidies fishing,fisheries law,fisheries management,add value locally to fisheries resources,sustainable ocean economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,SDG 14,14.7,small island developing States marine resource,small island developing States sustainable use of marine resource,sustainable fisheries in small island,marine resource management small island developing,marine resources small island developing,marine resource use small island developing,sustainable aquaculture small island developing,small islands sustainable management of marine resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,SDG 14,14.a,ocean technology,research in marine technology,funds for marine technology,research and development in marine technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,SDG 14,14.b,small scale fisher,artisanal fisher,small scale fisheries,small scale fishing,family based fishery,small scale coastal fishermen,small fisheries, small-medium fisheries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,SDG 14,14.c,ocean conservation,sustainable use of ocean,law of the sea,ocean related instrument,ocean related legislation,conservation of ocean,management of marine resource,ocean-related instruments for conservation and sustainable use,health of the ocean,ocean health,UNCLOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,SDG 15,15.0,Sustainable Development Goal 15,SDG 15,conserve land resources,protect land resources,life on land,environmental protection,land restoration and decontamination,restore and protect nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,SDG 15,15.1,conserve terrestrial,restoration of terrestrial,restore inland freshwater,conserve inland freshwater,protect terrestrial, inland freshwater ecosystem,terrestrial ecosystem,terrestrial biodiversity,freshwater biodiversity,protect tundra,protect taiga,protect temperate deciduous forest, protect tropical rainforest,protect grassland,forests in protected areas,Well-managed protected areas,management of protected areas,land protected,restore ecosystem,land areas protected,protect land area,ecosystems protected,ecosystem restoration,maintain ecosystem,enhance ecosystem,restore degraded ecosystems,health of ecosystems,grassland protection,enhance healthy ecosystems,Effectively manage all protected areas,ensure all use of ecosystems is sustainable,sustainable use of ecosystem,achieve good condition of ecosystems,protection of natural ecosystems,natural ecosystems protection,restore natural ecosystems,natural ecosystems restoration,preserving ecosystems,maintaining biodiversity,enhancing biodiversity,conservation landscapes,landscape approach,conserve savanna,Landscape protection,Landscape restoration,Sustainable landscape management,Sustainable landscape use,Landscape ecology,sustainable use of terrestrial ecosystems,protect savanna,,,,,,,,
142,SDG 15,15.2,deforestation,deforested area,illegal logging,reforestation,afforestation,sustainable forest,forest management,management of forest,clearing forest,forest clearing,sustainable use of forest,conserve forest,protect forest,loss of forests,forest loss,forest lost,forests under long-term management plans,forests management plans,forest policy,forest planning,forests conserved,forests restored,restore forests,forest protection,mantain forests,maintenance of forest,Increase the quantity of forests,forest areas covered by management plans,protect forest ecosystems,restore forest ecosystems,protect world’s forests,restore world’s forests,forest preservation,forestry, forest resources,forest cover,forest reserves,forest degradation,agroforestry,forest partnership,sustainable development of forests,FLEGT,forest value chains',Muraille Verte,great green wall,GGWSSI,degraded forests,,,,,,,,,,,
143,SDG 15,15.3,degraded soil,degraded land,soil degradation,environmental degradation,land erosion,soil erosion,degraded area,erosive area,desertification,address the high fire risk,land affected by drought,land affected by floods,land restoration,degradation of drylands,restore land,reducing flood damage,restore soil ecosystems,land degradation,restore soil health,remediation of contaminated soil,organic soil,soil fertility,arable land,land use change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,SDG 15,15.4,mountain ecosystem,conserve mountain area,mountain biodiversity,biodiversity mountain,mountain green cover index,montane ecosystem,mountain conservation,mountain area conservation,conservation mountain,mountain protected area,protect mountain,mgci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,SDG 15,15.5,biodiversity loss,biodiversity degradation,red list index,natural habitat loss,natural habitat degradation,preserve natural habitat,natural habitat conservation,protect natural habitat,conserve natural habitat,restore biodiversity,protected species,species extinction,threatened species,species threatened with extinction,biodiversity at risk,loss of natural habitats,maintenance of biological diversity,biodiversity conservation,conserve biodiversity,extinction risk,risk of extinction,conservation of biological diversity,sustainable use of biological diversity,conserve wildlife habitats,restore wildlife habitats,conservation and sustainable use of biological diversity,biodiversity protection,biodiversity and nature protection,restore habitats and species,safeguard biodiversity,protect habitats and species,preserve biodiversity,sustain biodiversity,biodiversity-friendly,Red List species,high ecological value,Areas protected,protected areas,national parks,biological corridors,flagship species,iconic fauna,iconic species,IUCN red list,international union for conservation of nature,endangered species,,,,,,,,,,,,
146,SDG 15,15.6,fair and equitable sharing of genetic resources,access to genetic resources,utilize genetic resources,Genetic Resources and the Fair and Equitable Sharing of Benefits Arising from their Utilization,fair and equitable sharing of the benefits arising from the utilisation of genetic resource,Genetic resources preservation,preserve genetic resources,access and benefit-sharing of genetic resources,sustainably use genetic resources,safeguard genetic resources,nagoya protocol,utilise genetic resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,SDG 15,15.7,poaching,wildlife trafficking,traded wildlife,trafficking of protected species,illegal wildlife,poachers,animals illegally traded,plants illegally traded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,SDG 15,15.8,invasive alien species,invasive species,invasive alien plant,invasive plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,SDG 15,15.9,ecosystem and biodiversity values integration,ecosystem service,ecosystem valuation,biodiversity valuation,value ecosystem,value biodiversity,biodiversity in local planning,biodiversity in local plans,biodiversity in national planning,biodiversity in national plans,biodiversity in development strategies,Plan for Biodiversity,strategy for biodiversity,biodiversity's intrinsic value,integrate biodiversity into the development and implementation of policies,integrate biodiversity into policies,biodiversity restoration plans,Environmental capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,SDG 15,15.a,biodiversity funding,financing conservation,financing protected area,financing biodiversity,official development assistance to conservation of nature,ecosystem benefits,benefits ecosystem,biodiversity benefits,benefits biodiversity,financial resources to conserve biodiversity,financial resources to conserve ecosystems,financial resources for biodiversity,financial resources for ecosystems,financial mobilization for ecosystems,financial mobilisation for ecosystems,public expenditure on conservation of biodiversity,public expenditure on conservation of ecosystems,public expenditure for biodiversity,public expenditure for ecosystems,Official development assistance for biodiversity,finance mobilized from biodiversity,ODA for biodiversity,resources to developing countries for biodiversity,resources for global biodiversity,resources to support biodiversity,resources to support ecosystem,funds for biodiversity,financial flows to developing countries for biodiversity,financial flows for biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,SDG 15,15.b,finance forest,funding forest,sustainable forest management funding,funding sustainable forest,funding forest conservation,funding conservation forest,redd+,finance conservation forest,forest management in developing countries,finance sustainable forest management,finance forest management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,SDG 15,15.c,global wildlife,wildlife crime prevention,protect wildlife,support against poaching and trafficking of protected species,global support for efforts to combat poaching,global support for efforts to combat trafficking of protected species,global support to combat poaching,global support to combat trafficking of protected species,global support to protected species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,SDG 16,16.0,Sustainable Development Goal 16,SDG 16,peaceful societies,societies for sustainable development,inclusive societies,promote peace,peacekeeping,protect democracy,ensure democracy,defend democracy,defense of democracy,defend democractic processes,human rights abuse,abuse human rights,"Peace, justice and strong institutions",Protection of Human Rights,international human rights,compliance with fundamental rights,respects the fundamental rights,defend human rights,human rights defend,Promote human rights,human rights violations,global peace and security,encompassing all human rights,Human Rights standards,religious intolerance,religious tolerance,extreme religious ideology,conflict resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,SDG 16,16.1,homicide,conflict related death,physical violence,sexual violence,psychological violence,reduce violence,armed conflict,fleeing war,fleeing persecution,fleeing conflict,enforced disappearances,conflict and violence,reduce all forms of violence,end conflict,forcibly displaced,persecution,physical punishment,psychological aggression,victims of violence,local conflicts,religious conflict,violent extremism,violent groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,SDG 16,16.2,children violence,abuse children,children abuse,children torture,child sexual abuse,sexual violence against children,sexual abuse of children,trafficking of children,child trafficking,torture of children, children's rights,risk of the minor being a victim of human trafficking,trafficking of minors,minor's trafficking,violence by caregivers,aggression by caregivers,violence by parents,aggression by parents,violence by mother,violence by father,calling a child offensive names,shaking the child,shaking the children,slapping child,slapping children,hitting child,hitting children,spanking child,spanking children,beating child,beating children,violence against children,violence against child,children in commercial sexual exploitation,sexual exploitation of children,child in commercial sexual exploitation,child in sexual exploitation,sexual exploitation of child,Child prostitution,child sexual slavery,children sexual exploitation,Children prostitution,children sexual slavery,violence in childhood,,,,,,,,,,,,,,
156,SDG 16,16.3,conflict resolution mechanism,unsentenced detainees,rule of law,access to justice,justice for all,equality of citizens,right to justice,law enforcement,reinforcing the law,ensure that international law is respected,assure justice,ensure justice,deliver justice,dispute resolution mechanism,respect for international law,judicial independence,improving justice,justice reform,impunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,SDG 16,16.4,illicit flow,illicit financial,illicit arm,stolen asset,organized crime,seized arms,surrendered arms,financial illicit,inward illicit,outward illicit,illicit origin,illegal arm,illegal weapons,transfer of firearms,organised crime,funding armed groups,Combating the Financing of Terrorism,money laundering,KYC/AML/CFT,illicit drugs,anti-fraud,fraud,measures against illegal activities,arms trafficking,trafficking of arms,drug trafficking,trafficking of drugs,anti-money laundering,countering the financing of terrorism,IFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,SDG 16,16.5,corruption,bribery,bribe,anti-corruption,anticorruption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,SDG 16,16.6,transparent institutions,accountable public service,transparent public service,effective public services,quality public service,transparent public institutions,accountable public institutions,quality public institution,effective institutions,institutional capacity,public service quality,institutional transparency,institutional accountability,transparency in political process,transparency of political,enforce institutions,strong institutions,quality public administrations,effective governance,accountable institutions,inclusive institutions,"institution more agile and flexible, as well as more transparent",greater transparency and democratic legitimacy,good governance,weak governance,governance review,Institutional Strengthening,strengthening public institutions,governance in public institutions,Public Sector Strengthening,strong governance,resilient governance,inclusive governance,transparent governance,,,,,,,,,,,,,,,,,,,,,,,,
160,SDG 16,16.7,inclusive decision,responsive decision making,participatory decision,representative decision making,social equality in decision making,inclusive public service,public service inclusion,participation public service,public service participation,integrity of the electoral process,fair elections,electoral infrastructure,integrity of elections,threats to election,representation of workers,participation in democratic life,inclusive participation,stronger role to the voice of the people,inclusive approach with participation of all stakeholders,effective participation,enabling environment for CSOs,enabling environment for civil society organisations,multi-party dialogue,intra-community dialogue,inter-community dialogue,intercultural dialogue,inter-faith dialogue,civic space,structured dialogue CSO,Civil Society Strengthening,election monitoring,election observation,monitoring of elections,observation of elections,progress in institutionalising electoral democracy,structured dialogue civil society organisations,,,,,,,,,,,,,,,,,,,,,,
161,SDG 16,16.8,participation developing countries,developing countries participating,global governance developing countries,developing countries in international organizations,inclusion developing countries,developing countries inclusion,developing countries in global governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,SDG 16,16.9,birth certificate,legal identity,legal registration and documentation of a person,undocumented people,birth registration,registered births,civil registration,children officially recorded,stateless,denied nationality,legally invisible,births were never registered,births not registered,Registration of birth,identity documentation,national identity cards,registration of civil status,civil registry,death registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,SDG 16,16.10,public access to information,information access,free media,free press,threaten journalist,torture journalist,kidnapping journalist,killing journalist,journalists under risk,human right advocate,disappearences of human rights defenders,disappearances of journalists,disappearances of trade unionists,human rights defenders death,journalists death,trade unionists death,torture of human rights defenders,torture of trade unionists,Freedom to express views,Freedom to express opinion,freedom of information,right to information,journalist freedom,rights based approach,fundamental freedom,protect individual freedom,disappearances of human rights activist,disappearances of human rights advocates,disappearances of activists,disappearances of whistleblowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,SDG 16,16.a,Paris Principles,prevent violence,combat terrorism,combat crime,prevent crime,fight terrorism,counter terrorism,tackle terrorism,prosecute terrorism,address the threat of terrorist offences,terrorist offences and serious crime,prosecute terrorist offences,human rights institutions,institutions for human rights,NHRI,national human rights institutions,conflict management,security sector reforms,SSR,conflict sensitivity,Ministry of Defence,state and resilience building,European Peace Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,SDG 16,16.b,non-discriminatory law,sustainable development policies,non discriminatory policies,human rights law,human rights politics,human rights policy,human rights council,discriminatory policies,discriminatory law,law against discrimination,Charter of Fundamental Rights,policy for human rights,law for human rights,policies without discrimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,SDG 17,17.0,Sustainable Development Goal 17,SDG 17,global partnership,collaboration for sustainable development,global partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,SDG 17,17.1,domestic resource mobilization,domestic capacity,domestic tax,international support to developing countries,domestic budget,improve tax collection,increase tax collection,raise tax revenue,increase tax revenue,improve tax revenue,reform tax systems,domestic revenue resources,tax systems reform,financial flows to developing countries,revenue mobilisation,domestic revenue,Public Finance Management,PFM,Public Expenditure and Financial Accountability,PEFA,Tax Administration,tax transparency,tax collection,taxpayers,tax evasion,budget transparency,resources mobilization for sustainable development,resources mobilisation for sustainable development,domestic resource mobilisation,tax avoidance,domestic funding,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,SDG 17,17.2,official development assistance,oda,financial assistance over GNI,assistance for developing countries,international development cooperation,support developing countries,developing countries support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,SDG 17,17.3,financial support to developing countries,finance developing countries,financial resources to developing countries,foreign direct investments to developing countries,remittances to developing countries,FDI do developing countries,developing countries remittances,developing countries financial support,developing countries receive financial support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,SDG 17,17.4,restructure debt in developing countries,reduce debt in developing countries,restructure debt in Africa,support developing countries with debt,help developing countries with debt,unsustainable debt levels developing countries,debt burden least developed countries,debt level reduction developing countries,debt relief for developing countries,debt moratorium developing countries,debt moratorium least deveveloped countries,debt burden on developing countries,help developing countries manage their debt,debt of developing countries,reduce debt distress in developing countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,SDG 17,17.5,investment promotion regime,foreign direct investment in the least developing countries,increased foreign direct investment flows,finance investment in developing countries,finance investment in last developing countries,address barriers to private investment in developing countries,supporting investment projects,foster investments in developing countries,public loans least developed countries,public loans developing countries,mobilisation of public and private investment developing countries,mitigate investment risks developing countries,promotion of private investments,investment climate in developing countries,foreign investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,SDG 17,17.6,technology cooperation agreement,global technology facilitation mechanism,Joint Technology Initiatives,Partnering in Research and Innovation,cooperation on technology,cooperation on science,cooperation on innovation,partnership in innovation,share innovation,share technology,knowledge-sharing, technology facilitation, technology cooperation, technology agreement, science cooperation,technology transfer,knowledege transfer,cooperation instruments and actions,GPEDC,Global Partnership for Effective Development Co-operation,collaboration on technology,collaboration on science,collaboration on innovation,partnerships in research,cooperation in research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,SDG 17,17.7,technology in developing countries,technology dissemination in developing countries,technology diffusion in developing countries,developing countries technology,technology transfer in developing countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,SDG 17,17.8,technology in least developed countries,internet in least developed countries,ict in least developed countries,innovation in least developed countries,science capacity-building,technology capacity-building,innovation capacity-building,capacity-building in innovation,capacity-building in technology,capacity-building in science,international collaboration on technology,cooperation on information and communications technology,cooperation in ICT,collaboration information and communications technology,collaboration ICT,ICT cooperation,international information and communications technology,ICT capacity in least developed countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,SDG 17,17.9,financial assistance to developing,technical assistance to developing,north south cooperation,south south cooperation,triangular cooperation,support capacity-building in developing countries,capacity building in least developed countries,national plans to implement the Sustainable Development Goals,national plans to implement the SDGs,national plans to implement Sustainable Development,cooperation on sustainable development,European Fund for Sustainable Development,capacity building assistance to improve the investment,EFSD,capacity building support in developing countries,support capacity building in developing countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,SDG 17,17.10,trade agreements for sustainable development,trade partnerships,trade relations around the world,progressive and modern trade rules,promote sustainable growth by expanding trade,rules for global trade,responsible trade,fair trade,transparent trade,ethical trade,sustainable trade,sustainable development in trade policies,rules with the global trade system,trade agenda to promote sustainable development,trade policy to sustainable development,trade to promote sustainable development,trade policy to promote the social and environmental pillars of sustainable development,trade and sustainable development,trade policy in support of sustainable development,Reinforced international regulatory cooperation helps to facilitate trade,Reinforce international regulatory cooperation for trade,regulatory trade cooperation,trade regulations,against unfair trade practices,responsible and fair trade,elimination of trade barriers,enforcing the rules of global trade,reinvigorate the WTO,rules governing global trade within the WTO,multilateral trading system,rules to govern global trade,open trading system,WTO-compatible trade agreements,promoting free trade,African Continental Free Trade Area,AfCFTA,fair and open trading system,trade barriers,EU’s trade interests,trade policy,trade facilitation,regional economic integration,Free Trade Area,trade facilitation in international regulatory cooperation,Economic Partnership Agreement,,,,,,,,,,,,,
177,SDG 17,17.11,global export developing countries,global exports least developed countries,global exports share in developing countries,increase the exports of developing countries,increase the exports of least developed countries,increase the exports of Africa,increase the exports to improve the trade balance of developing countries,Export Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,SDG 17,17.12,tariffs faced by developing countries,tariffs faced by least developed countries,tariffs faced by small island developing countries,market access developing countries,market access least developed,market access small island,duty-free market access for least developed countries,quota-free market access for least developed countries,trade agreements with developing coutries,Aid for Trade Strategy,transparent trade rules,tariffs rules for developing countries,GSP+,everything but arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,SDG 17,17.13,macroeconomic dashboard,macroeconomic stability,policy coordination,economy with low vulnerability to external shocks,macroeconomic instability,macroeconomic policy coherence,macroeconomic coordination,macroeconomic situation,macro-economic stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,SDG 17,17.14,policy coherence for sustainable development,systematic promotion of mutually reinforcing policy actions,minimise contradictions and building synergies between different policies,coherent integration of policies,take account of development objectives in policies,PCD,PCSD,policy coherence for development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,SDG 17,17.15,poverty eradication policies,sustainable development policies,respect sovereignty,promote ownership by countries,country-led policies for poverty eradication,country-led policies for sustainable development,policies tackle poverty,policies reduce poverty,policies foster sustainable development,policies focus on sustainable development,policies focus on poverty reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SDG 17,17.16,multi stakeholder partnership,multi stakeholder development,partnership for sustainable development,partnership for SDGs,multi-stakeholder alliances,platform for a multi-stakeholder dialogue on sustainable,multi-stakeholder dialogue platform,multi stakeholder platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,SDG 17,17.17,public private partnership,civil society partnership,public partnership,partnership with private sector,cooperation with private sector,public and private cooperation,cooperation with SME,partnership with SME,SME cooperation across developing countries,private sector for sustainable development,integrate private sector development objectives in support strategies,Engaging the private sector in sustainable,private sector engagement for development,engagement of European companies in developing countries,private sector development support,PRIVATE SECTOR PARTNER IN DEVELOPMENT COOPERATION,partnership and cooperation agreement between private and public,working in partnership with the EU in the field of private sector development,foster business innovation partnerships between private and public sector,exploring possible partnerships with the private sector,boosting horizontal partnerships,partnership public private,partnership private and public,tap into private investment,Public-Private Dialogue,Roadmap for Civil Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,SDG 17,17.18,availability of disaggregated data,fundamental principles of official statistics,sustainable development indicators,national statistical legislation,availability of reliable data,data availability in developing countries,data accountability developing countries, availability of data in developing countries,availability of data disaggregated,data at national level, statistics on sustainable development,national statistical plan,partnerships in data collection,data collection in development countries, collect data in development countries, collect information in development countries,Information gathering in development countries,indicators for sustainable development,official statistics in developing countries,weak statistical systems and mechanisms ,advocate for more and better data in developing countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,SDG 17,17.19,statistical capacity in developing countries,birth registration,death registration,population census,income census,measure progress SDG,sdg progress measure,statistical capacity in least developed countries,statistical capacity in small island,measurement of progress on sustainable development,statistical capacity-building,statistical capacity development,statistical capacity building,statistical capacity indicator,data on statistical capacity,data on sustainable development,data that complement gross domestic product,data that complement GDP,Beyond GDP,indicators to complement GDP,measure sustainable development,international cooperation on data collection,Monitoring sustainable development,evaluating sustainable development,assess sustainable development,statistical capacity development at the national level for developing countries,national statistical systems of developing countries,international funding for data and statistics,strengthening of the statistical system,monitoring of SDGs,reporting on SDGs,SDG monitoring,SDG reporting,,,,,,,,,,,,,,,,,,,,,,,,,
